person_id,identifier,scheme
uk.org.publicwhip/person/10116,196,historichansard_person_id
uk.org.publicwhip/person/10116,Q271935,wikidata
uk.org.publicwhip/person/10117,Q5609565,wikidata
uk.org.publicwhip/person/10117,197,historichansard_person_id
uk.org.publicwhip/person/10118,Q338342,wikidata
uk.org.publicwhip/person/10118,198,historichansard_person_id
uk.org.publicwhip/person/10119,199,historichansard_person_id
uk.org.publicwhip/person/10119,249,datadotparl_id
uk.org.publicwhip/person/10119,3809,yournextmp
uk.org.publicwhip/person/10119,2637,pims_id
uk.org.publicwhip/person/10119,Q285183,wikidata
uk.org.publicwhip/person/10120,Q285249,wikidata
uk.org.publicwhip/person/10120,1866,yournextmp
uk.org.publicwhip/person/10120,2643,pims_id
uk.org.publicwhip/person/10120,200,historichansard_person_id
uk.org.publicwhip/person/10120,553,datadotparl_id
uk.org.publicwhip/person/10121,201,historichansard_person_id
uk.org.publicwhip/person/10121,360,datadotparl_id
uk.org.publicwhip/person/10121,1272,yournextmp
uk.org.publicwhip/person/10121,2647,pims_id
uk.org.publicwhip/person/10121,Q285975,wikidata
uk.org.publicwhip/person/10122,2661,pims_id
uk.org.publicwhip/person/10122,223,yournextmp
uk.org.publicwhip/person/10122,Q286043,wikidata
uk.org.publicwhip/person/10122,202,historichansard_person_id
uk.org.publicwhip/person/10122,458,datadotparl_id
uk.org.publicwhip/person/10123,203,historichansard_person_id
uk.org.publicwhip/person/10123,Q5610420,wikidata
uk.org.publicwhip/person/10124,204,historichansard_person_id
uk.org.publicwhip/person/10124,Q5610671,wikidata
uk.org.publicwhip/person/10125,205,historichansard_person_id
uk.org.publicwhip/person/10125,Q5611004,wikidata
uk.org.publicwhip/person/10126,206,historichansard_person_id
uk.org.publicwhip/person/10126,Q334293,wikidata
uk.org.publicwhip/person/10127,Q6829396,wikidata
uk.org.publicwhip/person/10127,80,historichansard_person_id
uk.org.publicwhip/person/10128,207,historichansard_person_id
uk.org.publicwhip/person/10128,602,datadotparl_id
uk.org.publicwhip/person/10128,Q290799,wikidata
uk.org.publicwhip/person/10129,208,historichansard_person_id
uk.org.publicwhip/person/10129,Q5485932,wikidata
uk.org.publicwhip/person/10130,209,historichansard_person_id
uk.org.publicwhip/person/10130,Q311214,wikidata
uk.org.publicwhip/person/10131,Q291057,wikidata
uk.org.publicwhip/person/10131,2709,pims_id
uk.org.publicwhip/person/10131,2607,yournextmp
uk.org.publicwhip/person/10131,420,datadotparl_id
uk.org.publicwhip/person/10131,210,historichansard_person_id
uk.org.publicwhip/person/10132,211,historichansard_person_id
uk.org.publicwhip/person/10132,297,datadotparl_id
uk.org.publicwhip/person/10132,2713,pims_id
uk.org.publicwhip/person/10132,Q2159745,wikidata
uk.org.publicwhip/person/10133,2717,pims_id
uk.org.publicwhip/person/10133,1120,yournextmp
uk.org.publicwhip/person/10133,Q291169,wikidata
uk.org.publicwhip/person/10133,212,historichansard_person_id
uk.org.publicwhip/person/10133,185,datadotparl_id
uk.org.publicwhip/person/10134,213,historichansard_person_id
uk.org.publicwhip/person/10134,282,datadotparl_id
